Nombre de generation:1000
Nombre d'essais par individu:10
Nombre d'individu:5
0	7973	0.096	0.163	0.217	0.224	0.180	0.120	
1	8228	0.254	0.482	0.187	0.032	0.035	0.011	
2	9578	0.028	0.393	0.049	0.134	0.129	0.267	
3	7667	0.254	0.482	0.187	0.032	0.035	0.011	
4	8821	0.254	0.482	0.187	0.032	0.035	0.011	
5	8640	0.028	0.393	0.049	0.134	0.129	0.267	
6	9251	0.068	0.260	0.284	0.095	0.128	0.165	
7	9250	0.254	0.482	0.187	0.032	0.035	0.011	
8	8682	0.254	0.482	0.187	0.032	0.035	0.011	
9	8968	0.006	0.357	0.071	0.092	0.283	0.191	
10	7929	0.006	0.357	0.071	0.092	0.283	0.191	
11	7100	0.017	0.213	0.211	0.163	0.177	0.220	
12	9844	0.006	0.357	0.071	0.092	0.283	0.191	
13	9342	0.017	0.213	0.211	0.163	0.177	0.220	
14	8529	0.068	0.260	0.284	0.095	0.128	0.165	
15	9308	0.092	0.347	0.162	0.045	0.129	0.226	
16	9576	0.092	0.347	0.162	0.045	0.129	0.226	
17	10431	0.068	0.260	0.284	0.095	0.128	0.165	
18	8992	0.254	0.482	0.187	0.032	0.035	0.011	
19	10123	0.092	0.347	0.162	0.045	0.129	0.226	
20	7752	0.092	0.347	0.162	0.045	0.129	0.226	
21	8971	0.068	0.260	0.284	0.095	0.128	0.165	
22	8596	0.254	0.482	0.187	0.032	0.035	0.011	
23	7611	0.050	0.266	0.120	0.162	0.165	0.237	
24	10492	0.240	0.152	0.197	0.032	0.101	0.278	
25	10063	0.092	0.347	0.162	0.045	0.129	0.226	
26	8758	0.092	0.347	0.162	0.045	0.129	0.226	
27	8720	0.175	0.120	0.318	0.054	0.282	0.049	
28	8784	0.092	0.347	0.162	0.045	0.129	0.226	
29	10141	0.092	0.347	0.162	0.045	0.129	0.226	
30	9943	0.254	0.482	0.187	0.032	0.035	0.011	
31	8982	0.240	0.152	0.197	0.032	0.101	0.278	
32	10413	0.254	0.482	0.187	0.032	0.035	0.011	
33	7024	0.012	0.313	0.090	0.029	0.447	0.108	
34	8360	0.254	0.482	0.187	0.032	0.035	0.011	
35	8314	0.092	0.347	0.162	0.045	0.129	0.226	
36	8760	0.092	0.347	0.162	0.045	0.129	0.226	
37	9800	0.254	0.482	0.187	0.032	0.035	0.011	
38	10518	0.092	0.347	0.162	0.045	0.129	0.226	
39	8384	0.012	0.313	0.090	0.029	0.447	0.108	
40	9702	0.092	0.347	0.162	0.045	0.129	0.226	
41	10438	0.092	0.347	0.162	0.045	0.129	0.226	
42	8762	0.240	0.152	0.197	0.032	0.101	0.278	
43	9492	0.292	0.157	0.188	0.015	0.167	0.181	
44	10184	0.254	0.482	0.187	0.032	0.035	0.011	
45	9052	0.254	0.482	0.187	0.032	0.035	0.011	
46	8542	0.254	0.482	0.187	0.032	0.035	0.011	
47	10835	0.001	0.337	0.236	0.046	0.121	0.260	
48	13209	0.292	0.157	0.188	0.015	0.167	0.181	
49	8080	0.254	0.482	0.187	0.032	0.035	0.011	
50	8219	0.292	0.157	0.188	0.015	0.167	0.181	
51	10893	0.254	0.482	0.187	0.032	0.035	0.011	
52	8528	0.001	0.337	0.236	0.046	0.121	0.260	
53	11240	0.292	0.157	0.188	0.015	0.167	0.181	
54	9300	0.292	0.157	0.188	0.015	0.167	0.181	
55	8574	0.144	0.211	0.229	0.119	0.254	0.043	
56	9216	0.001	0.337	0.236	0.046	0.121	0.260	
57	11494	0.001	0.337	0.236	0.046	0.121	0.260	
58	8971	0.254	0.482	0.187	0.032	0.035	0.011	
59	10117	0.001	0.337	0.236	0.046	0.121	0.260	
60	7834	0.240	0.152	0.197	0.032	0.101	0.278	
61	9690	0.001	0.337	0.236	0.046	0.121	0.260	
62	8908	0.292	0.157	0.188	0.015	0.167	0.181	
63	7378	0.292	0.157	0.188	0.015	0.167	0.181	
64	10489	0.258	0.227	0.108	0.027	0.106	0.274	
65	8694	0.292	0.157	0.188	0.015	0.167	0.181	
66	9632	0.240	0.152	0.197	0.032	0.101	0.278	
67	8760	0.240	0.152	0.197	0.032	0.101	0.278	
68	8161	0.043	0.245	0.164	0.094	0.262	0.193	
69	7767	0.292	0.157	0.188	0.015	0.167	0.181	
70	8759	0.292	0.157	0.188	0.015	0.167	0.181	
71	8433	0.240	0.152	0.197	0.032	0.101	0.278	
72	8695	0.258	0.227	0.108	0.027	0.106	0.274	
73	9115	0.240	0.152	0.197	0.032	0.101	0.278	
74	9125	0.258	0.227	0.108	0.027	0.106	0.274	
75	7931	0.292	0.157	0.188	0.015	0.167	0.181	
76	8316	0.108	0.212	0.175	0.123	0.163	0.218	
77	8978	0.258	0.227	0.108	0.027	0.106	0.274	
78	9260	0.258	0.227	0.108	0.027	0.106	0.274	
79	9504	0.240	0.152	0.197	0.032	0.101	0.278	
80	8324	0.108	0.212	0.175	0.123	0.163	0.218	
81	8105	0.181	0.233	0.373	0.061	0.062	0.090	
82	8872	0.258	0.227	0.108	0.027	0.106	0.274	
83	9508	0.258	0.227	0.108	0.027	0.106	0.274	
84	9169	0.181	0.233	0.373	0.061	0.062	0.090	
85	12222	0.240	0.152	0.197	0.032	0.101	0.278	
86	8448	0.181	0.233	0.373	0.061	0.062	0.090	
87	9388	0.181	0.233	0.373	0.061	0.062	0.090	
88	8024	0.240	0.152	0.197	0.032	0.101	0.278	
89	12071	0.146	0.253	0.081	0.046	0.250	0.224	
90	9704	0.146	0.253	0.081	0.046	0.250	0.224	
91	9870	0.146	0.253	0.081	0.046	0.250	0.224	
92	9520	0.004	0.286	0.120	0.067	0.408	0.116	
93	8238	0.146	0.253	0.081	0.046	0.250	0.224	
94	8098	0.141	0.289	0.131	0.008	0.245	0.186	
95	9371	0.004	0.286	0.120	0.067	0.408	0.116	
96	10310	0.146	0.253	0.081	0.046	0.250	0.224	
97	10190	0.004	0.286	0.120	0.067	0.408	0.116	
98	8693	0.146	0.253	0.081	0.046	0.250	0.224	
99	7949	0.141	0.289	0.131	0.008	0.245	0.186	
100	8431	0.004	0.286	0.120	0.067	0.408	0.116	
101	9203	0.141	0.289	0.131	0.008	0.245	0.186	
102	8758	0.141	0.289	0.131	0.008	0.245	0.186	
103	10369	0.141	0.289	0.131	0.008	0.245	0.186	
104	8811	0.146	0.253	0.081	0.046	0.250	0.224	
105	8611	0.004	0.286	0.120	0.067	0.408	0.116	
106	9607	0.042	0.351	0.074	0.127	0.167	0.239	
107	9985	0.146	0.253	0.081	0.046	0.250	0.224	
108	8747	0.141	0.289	0.131	0.008	0.245	0.186	
109	9318	0.004	0.286	0.120	0.067	0.408	0.116	
110	10267	0.084	0.221	0.004	0.090	0.433	0.168	
111	7478	0.084	0.221	0.004	0.090	0.433	0.168	
112	8669	0.004	0.286	0.120	0.067	0.408	0.116	
113	10321	0.004	0.286	0.120	0.067	0.408	0.116	
114	9899	0.141	0.289	0.131	0.008	0.245	0.186	
115	7745	0.322	0.175	0.035	0.115	0.280	0.072	
116	10119	0.004	0.286	0.120	0.067	0.408	0.116	
117	8360	0.146	0.253	0.081	0.046	0.250	0.224	
118	9458	0.216	0.175	0.006	0.093	0.275	0.234	
119	8565	0.216	0.175	0.006	0.093	0.275	0.234	
120	9337	0.146	0.253	0.081	0.046	0.250	0.224	
121	9509	0.004	0.286	0.120	0.067	0.408	0.116	
122	7476	0.004	0.286	0.120	0.067	0.408	0.116	
123	8206	0.146	0.253	0.081	0.046	0.250	0.224	
124	8084	0.146	0.253	0.081	0.046	0.250	0.224	
125	9213	0.146	0.253	0.081	0.046	0.250	0.224	
126	10798	0.004	0.286	0.120	0.067	0.408	0.116	
127	7840	0.225	0.203	0.200	0.123	0.176	0.073	
128	7569	0.146	0.253	0.081	0.046	0.250	0.224	
129	8156	0.004	0.286	0.120	0.067	0.408	0.116	
130	7075	0.225	0.203	0.200	0.123	0.176	0.073	
131	7206	0.084	0.221	0.004	0.090	0.433	0.168	
132	9458	0.146	0.253	0.081	0.046	0.250	0.224	
133	9568	0.146	0.253	0.081	0.046	0.250	0.224	
134	10182	0.004	0.286	0.120	0.067	0.408	0.116	
135	8677	0.146	0.253	0.081	0.046	0.250	0.224	
